id,title,project,stage,state,customer,start_date,deadline,assignees,priority,tags,description,parent_task
163,Final Inspection - Subtask 63,Home Construction,Cancelled (Home Construction),Approved,"Lumber Inc, Camptocamp",09/03/2026,18/03/2026,Christine Nguyen,Urgent,Review,"Dự án: Home Construction
Tác vụ: Final Inspection - Subtask 63
Độ ưu tiên: Urgent

Mô tả: Tiến hành kiểm tra chất lượng cuối cùng toàn bộ các hạng mục xây dựng theo tiêu chuẩn quy định để đảm bảo công trình đáp ứng các yêu cầu kỹ thuật và an toàn. Hoàn tất báo cáo kiểm tra và xử lý các vấn đề phát hiện trong thời gian sớm nhất.",
164,Access Control Setup - Subtask 64,ERP Implementation,Development (ERP),Done,Bright Solutions,06/03/2026,16/03/2026,Daniel Dixon,Urgent,"Development, Client","Task Description:
Project: ERP Implementation
Task: Access Control Setup - Subtask 64
Priority: Urgent

Description (Vietnamese):
""Cấu hình và thiết lập các quyền truy cập chi tiết cho hệ thống ERP nhằm đảm bảo an ninh dữ liệu và kiểm soát truy cập theo các vai trò người dùng khác nhau. Hoàn thành cấu hình các chính sách truy cập, phân quyền và kiểm tra quyền hạn trong giai đoạn này trước khi triển khai hệ thống.""",Exterior Finishing - 2
165,Pricing Discussion - Subtask 65,Sales Pipeline,Proposal (Sales),On Hold,Lumber Inc,05/10/2025,06/11/2025,Khánh Thang,Low priority,"Interior, Development",High priority client - CEO involvement,Reference Check - 52
166,Feature Enhancement - Subtask 66,ERP Implementation,Closed (ERP),In Progress,"Azure Interior, Gemini Furniture",01/01/2026,31/01/2026,Thanh Nguyễn,Low priority,"Testing, Interior","Nhiệm vụ: Feature Enhancement - Subtask 66
Dự án: ERP Implementation
Mức độ ưu tiên: Low priority

Mô tả: Cải thiện và tối ưu hóa các tính năng hiện có trong hệ thống ERP để nâng cao hiệu suất và trải nghiệm người dùng. Thực hiện các điều chỉnh nhỏ và bổ sung các tính năng phụ trợ nhằm hoàn thiện quy trình xử lý dữ liệu và nâng cao tính ổn định của ứng dụng.",Door Installation - Subtask 38
167,Bug Fixing - Subtask 67,ERP Implementation,Testing (ERP),In Progress,Bright Solutions,10/02/2026,09/03/2026,Khánh Thang,Medium priority,Development,"Task: Bug Fixing - Subtask 67
Project: ERP Implementation
Priority: Medium priority

Description: Khắc phục lỗi kỹ thuật được xác định trong hệ thống quản lý tài chính để đảm bảo tính ổn định và hiệu suất của ứng dụng ERP. Kiểm tra và xác nhận lại toàn bộ quy trình sau khi khắc phục để đảm bảo không ảnh hưởng đến các chức năng khác.",Reference Check - 34
168,Requirement Gathering - Subtask 68,ERP Implementation,Testing (ERP),On Hold,Bright Solutions,14/01/2026,15/02/2026,"Leon Schuster, Oscar Singh",Low priority,Development,"Task: Requirement Gathering - Subtask 68
Project: ERP Implementation
Priority: Low priority

Description:
Tiến hành thu thập và ghi lại các yêu cầu kỹ thuật chi tiết từ các bộ phận liên quan nhằm đảm bảo sự tích hợp toàn diện của hệ thống ERP. Phân tích và xác nhận tính khả thi của các yêu cầu được nêu ra để hỗ trợ giai đoạn lập kế hoạch tiếp theo.
",
169,Subcontractor Coordination - Subtask 69,Home Construction,Done (Home Construction),Approved,Gemini Furniture,16/09/2025,21/10/2025,Felix Nygren,Medium priority,"Meeting, Interior","Tên: Subcontractor Coordination - Subtask 69
Dự án: Home Construction
Độ ưu tiên: Trung bình
Mô tả công việc: Phối hợp với các nhà thầu phụ để đảm bảo tiến độ công việc, chất lượng thực hiện và tuân thủ các quy định an toàn tại công trường. Kiểm tra và xác nhận việc hoàn thành các công đoạn được giao phó theo kế hoạch dự kiến.",Vendor Coordination - 72
170,Door Installation - Subtask 70,Renovations,Done (Renovations),On Hold,Lumber Inc,17/01/2026,14/02/2026,Szymon Tomaszewski,High priority,"Client, Testing","Task: Door Installation - Subtask 70
Project: Renovations
Priority: High priority
Description: Lắp đặt cửa ra vào theo thông số kỹ thuật và tiêu chuẩn chất lượng đã được phê duyệt cho dự án cải tạo. Đảm bảo hoàn thành công việc đúng hạn và kiểm tra kỹ lưỡng mức độ chính xác, an toàn trước khi bàn giao.
",
171,Roof Installation - Subtask 71,Home Construction,Cancelled (Home Construction),In Progress,The Jackson Group,07/12/2025,23/12/2025,"Jean Thomas, Hùng Tạ",Urgent,"Development, Work",Foundation needs to be completed before winter,Client Walkthrough - 82
172,Drywall Installation - Subtask 72,Home Construction,New (Home Construction),Cancelled,"Delta PC, Brandon Freeman",20/01/2026,22/02/2026,Lakshman Joshi,Medium priority,Testing,Foundation needs to be completed before winter,Door Installation
173,Final Touches - Subtask 73,Renovations,New (Renovations),Approved,"The Jackson Group, Think Big Systems",27/05/2025,19/07/2025,"Sơn Tiêu, Julien Todd",Medium priority,"Development, Budget, Work","Task: Final Touches - Subtask 73
Project: Renovations
Priority: Medium priority
Description: Hoàn thiện các chi tiết cuối cùng cho dự án cải tạo, bao gồm kiểm tra chất lượng và điều chỉnh các yếu tố còn lại. Đảm bảo tất cả các công việc được thực hiện đúng tiêu chuẩn trước khi bàn giao.",Bug Fixing - Subtask 83
174,Workflow Setup - Subtask 74,ERP Implementation,Testing (ERP),In Progress,"The Jackson Group, Lumber Inc",27/02/2026,23/03/2026,"Annemarie van Rijn, Laura Oliveira",High priority,Development,Data cleanup in progress,Design Consultation - 32
175,Documentation - Subtask 75,ERP Implementation,Closed (ERP),Waiting,"ASUSTeK, Ready Mat",23/06/2025,17/07/2025,Natalia Ortega,Medium priority,Interior,Training materials needed,Vendor Coordination - Subtask 41
176,Furnitures - Subtask 76,Renovations,Done (Renovations),Done,Think Big Systems,27/05/2025,26/06/2025,"Amy Smith, Dennis Wilson",Medium priority,"Documentation, Training","Tên công việc: Furnitures - Subtask 76
Dự án: Renovations
Mức độ ưu tiên: Medium priority

Mô tả công việc:
Tiến hành lựa chọn, đo đạc và sắp xếp vị trí các đồ nội thất phù hợp với thiết kế không gian renovátion. Đảm bảo chất lượng, kích thước và màu sắc của các sản phẩm nội thất đáp ứng đúng tiêu chuẩn dự án.",
177,Lighting Fixtures - Subtask 77,Renovations,New (Renovations),Waiting,Brandon Freeman,14/02/2026,01/03/2026,"Hùng Tạ, Austin Turner",Medium priority,"Urgent, Review, Training","Tên công việc: Lighting Fixtures - Subtask 77
Dự án: Renovations
Mức độ ưu tiên: Medium priority

Mô tả công việc:
Tiến hành kiểm tra, lựa chọn và lắp đặt các thiết bị chiếu sáng phù hợp cho các khu vực của dự án tu sửa, đảm bảo chất lượng, hiệu suất năng lượng và tuân thủ các tiêu chuẩn kỹ thuật. Hoàn thành việc xử lý các vấn đề liên quan đến hệ thống điện chiếu sáng và chuẩn bị báo cáo tiến độ cho giai đoạn tiếp theo của dự án.",Plumbing Setup - Subtask 55
178,Tile Work - Subtask 78,Renovations,Review (Renovations),In Progress,Camptocamp,06/12/2025,11/01/2026,Nico Hoffmann,Low priority,"Client, Training",The customer did not choose the colour yet,Cabinet Installation - Subtask 25
179,Insulation - Subtask 79,Home Construction,New (Home Construction),Changes Requested,Bright Solutions,01/03/2026,26/03/2026,"Jean Coppens, Yasuko Kuroda",Low priority,"Interior, Design","Task: Insulation - Subtask 79
Project: Home Construction
Priority: Low priority
Description: Kiểm tra và hoàn thiện công tác lắp đặt vật liệu cách nhiệt ở các khu vực phụ của công trình, đảm bảo độ dày và chất lượng phù hợp với tiêu chuẩn kỹ thuật. Ghi chép lại chi tiết công việc và báo cáo tiến độ cho nhóm giám sát dự án.",Roof Installation - Subtask 91
180,Demolition - Subtask 80,Renovations,In Progress (Renovations),On Hold,Deco Addict,02/02/2026,04/03/2026,Zoe Scott,Medium priority,Design,"Task Name: Demolition - Subtask 80
Project: Renovations
Priority: Medium

Description: Thực hiện công việc phá dỡ các cấu trúc và vật liệu xây dựng cũ theo đúng kế hoạch và tiêu chuẩn an toàn công trường. Đảm bảo loại bỏ hoàn toàn các vật thải xây dựng và chuẩn bị mặt bằng sạch cho các công đoạn thi công tiếp theo.",Bug Fixing - Subtask 67
181,Performance Testing - Subtask 81,ERP Implementation,Planning (ERP),Approved,Deco Addict,26/10/2025,18/11/2025,Xiaoxia Qiu,Urgent,"Interior, Support",Dependencies on vendor API,Vendor Coordination - Subtask 41
182,Drywall Installation - Subtask 82,Home Construction,In Progress (Home Construction),Cancelled,Bright Solutions,07/01/2026,10/02/2026,"Leon Schuster, Yuma Yoshimura",Urgent,Testing,"Project: Home Construction
Task: Drywall Installation - Subtask 82
Priority: Urgent

Description:
Tiến hành lắp đặt tấm vữa khô trên các bức tường tầng hai, đảm bảo các mối nối được khít chặt và phẳng lì theo tiêu chuẩn xây dựng. Hoàn thành công việc trong vòng 3 ngày để không ảnh hưởng đến lịch trình công trình chung.",Demolition - Subtask 80
183,Bug Fixing - Subtask 83,ERP Implementation,Deployment (ERP),Waiting,"Deco Addict, Ready Mat",19/01/2025,10/03/2025,Han-kyung Seonwoo,Low priority,Development,"Dự án: ERP Implementation
Tác vụ: Bug Fixing - Subtask 83
Mức độ ưu tiên: Low priority

Mô tả: Kiểm tra và sửa các lỗi nhỏ trong module xử lý dữ liệu tài chính để đảm bảo hệ thống hoạt động ổn định. Tác vụ này bao gồm việc xác nhận các báo cáo lỗi, phân tích nguyên nhân và triển khai các bản vá phù hợp.",Permit Application - Subtask 35
184,Competitor Analysis - Subtask 84,Sales Pipeline,Lost (Sales),Done,"Brandon Freeman, Bright Solutions",15/02/2026,05/03/2026,Silvestro Settembre,High priority,"Design, Meeting","Task: Competitor Analysis - Subtask 84
Project: Sales Pipeline
Priority: High priority

Description (Vietnamese):
Phân tích chi tiết các chiến lược định giá, tính năng sản phẩm và kênh phân phối của các đối thủ cạnh tranh chính để xác định các cơ hội thúc đẩy doanh số bán hàng. Báo cáo kết quả phân tích kèm theo các khuyến nghị chiến lược nhằm cải thiện vị thế cạnh tranh của công ty trong thị trường.

English Translation:
Conduct a detailed analysis of pricing strategies, product features, and distribution channels of major competitors to identify opportunities for driving sales growth. Report findings with strategic recommendations to improve the company's competitive position in the market.",Flooring Upgrade
185,Pricing Discussion - Subtask 85,Sales Pipeline,Proposal (Sales),In Progress,"Wood Corner, Brandon Freeman",05/03/2026,19/03/2026,"Oscar Singh, Elsa David",Urgent,"Documentation, Meeting","Task: Pricing Discussion - Subtask 85
Project: Sales Pipeline
Priority: Urgent
Description: Tiến hành cuộc thảo luận chi tiết về chiến lược định giá sản phẩm và lợi nhuận biên độ để đảm bảo tính cạnh tranh trên thị trường. Hoàn thành việc xác định mức giá tối ưu và thỏa thuận với đội bán hàng trước hạn chót dự án.",
186,Countertop Replacement - Subtask 86,Renovations,In Progress (Renovations),Done,"Delta PC, Brandon Freeman",20/02/2026,17/03/2026,Laura Oliveira,Urgent,Interior,"Task Description - Countertop Replacement - Subtask 86
Project: Renovations
Priority: Urgent

Description:
Thực hiện lắp đặt mặt bàn mới để thay thế mặt bàn hiện tại, đảm bảo các tiêu chí chất lượng và độ chính xác kỹ thuật theo tiêu chuẩn dự án. Hoàn thiện tất cả công việc liên quan bao gồm chuẩn bị bề mặt, kiểm tra độ bằng phẳng, và hoàn tất các chi tiết mạch nước, điện tương ứng.",Requirement Analysis - 99
187,Feedback Collection - Subtask 87,Sales Pipeline,Proposal (Sales),Changes Requested,"China Export, Wood Corner",07/01/2026,31/01/2026,"Sung-hoon Pang, Gabriel Schenk",Medium priority,"Budget, Documentation",Timeline is aggressive,User Training - 84
188,Design Consultation - Subtask 88,Renovations,Done (Renovations),Done,Brandon Freeman,15/01/2026,04/02/2026,Đỗ Võ,Low priority,"Review, Urgent, Planning","Task: Design Consultation - Subtask 88
Project: Renovations
Priority: Low Priority

Description:
Tham khảo với đội ngũ thiết kế để xem xét các phương án cải thiện chi tiết và tối ưu hóa bản vẽ hiện tại. Công việc này sẽ hỗ trợ hoàn thiện giai đoạn thiết kế trước khi chuyển sang etapa thi công chính.",Workflow Setup - 66
189,Deal Closing - Subtask 89,Sales Pipeline,Proposal (Sales),Done,"Azure Interior, The Jackson Group",06/02/2026,13/02/2026,"Oscar Singh, Klaartje Desmet",Urgent,Development,Custom requirements discussed,Demolition - Subtask 14
190,Material Selection - Subtask 90,Renovations,Done (Renovations),In Progress,Bright Solutions,01/06/2025,20/06/2025,Monika Bose,Medium priority,"Client, Design","Task: Material Selection - Subtask 90
Project: Renovations
Priority: Medium
Description: Đánh giá và lựa chọn các vật liệu phù hợp cho giai đoạn tiếp theo của dự án cải tạo, đảm bảo chất lượng, giá cả và tính khả thi về mặt kỹ thuật. Cần hoàn thành đúng hạn để chuẩn bị cho các công đoạn thi công tiếp theo.",Performance Testing - Subtask 81
191,Roof Installation - Subtask 91,Home Construction,New (Home Construction),On Hold,Brandon Freeman,17/02/2026,25/02/2026,"Ivan Bühler, Sabine De Wit",High priority,Documentation,"Công việc: Roof Installation - Subtask 91
Dự án: Home Construction
Mức độ ưu tiên: High priority

Mô tả công việc:
Thực hiện lắp đặt hệ thống mái nhà theo thiết kế và tiêu chuẩn kỹ thuật đã được phê duyệt, đảm bảo chất lượng hoàn thiện và tính năng chống thấm nước toàn diện. Hoàn thành công đoạn này trong lịch trình dự kiến để đảm bảo tiến độ chung của dự án Xây dựng Nhà ở.",Deal Closing - Subtask 89
192,Post Go-Live Support - Subtask 92,ERP Implementation,Closed (ERP),Done,Wood Corner,17/01/2025,16/03/2025,Leon Schuster,Urgent,"Client, Work","Task: Post Go-Live Support - Subtask 92
Project: ERP Implementation
Priority: Urgent

Description:
Cung cấp hỗ trợ kỹ thuật và khắc phục các sự cố phát sinh sau khi triển khai hệ thống ERP để đảm bảo hoạt động ổn định và tối ưu hóa hiệu suất. Xử lý các yêu cầu từ người dùng cuối, cập nhật tài liệu và điều chỉnh cấu hình theo nhu cầu thực tế của tổ chức.",Subcontractor Coordination - 86
193,Structural Changes - Subtask 93,Renovations,Done (Renovations),Waiting,Deco Addict,06/07/2025,25/08/2025,"Ryan Wallace, Felix Nygren",High priority,Work,The customer did not choose the colour yet,System Backup - Subtask 48
194,Landscaping - Subtask 94,Home Construction,Done (Home Construction),Done,"Gemini Furniture, The Jackson Group",15/08/2025,15/09/2025,Monika Bose,High priority,Design,"Task: Landscaping - Subtask 94
Project: Home Construction
Priority: High priority

Description: Hoàn thành công tác thiết kế và trồng cây cảnh cho khu vực sân vườn phía trước nhà, đảm bảo phù hợp với kiến trúc tổng thể của công trình. Thi công các hạng mục cảnh quan bao gồm trồng cây xanh, lát đá lối đi và lắp đặt hệ thống tưới nước tự động theo tiêu chuẩn kỹ thuật đã phê duyệt.",Feedback Collection - Subtask 99
195,User Training - Subtask 95,ERP Implementation,Deployment (ERP),Changes Requested,"Ready Mat, Gemini Furniture",21/02/2026,28/02/2026,Guizhen Yu,High priority,"Review, Client",Integration complexity high,Landscaping - 89
196,Cabinet Installation - Subtask 96,Renovations,Done (Renovations),Waiting,Camptocamp,15/02/2026,06/03/2026,Tilde Haglund,Urgent,Review,The customer did not choose the colour yet,Design Consultation - Subtask 2
197,Contract Negotiation - Subtask 97,Sales Pipeline,Proposal (Sales),Done,"Camptocamp, Wood Corner",13/04/2025,21/05/2025,Emanuel Lehmann,Urgent,"Interior, Review, Urgent","Task Name: Contract Negotiation - Subtask 97
Project: Sales Pipeline
Priority: Urgent
Description: Xác minh các điều khoản hợp đồng chính và điều chỉnh các điểm chưa thỏa thuận để hoàn thành vòng đàm phán cuối cùng. Đảm bảo tất cả các yêu cầu pháp lý được đáp ứng và chuẩn bị tài liệu ký kết trong thời hạn quy định.",User Training - Subtask 95
198,Material Procurement - Subtask 98,Home Construction,New (Home Construction),In Progress,China Export,20/04/2025,28/05/2025,Hào Thi,Low priority,"Support, Review","Project: Home Construction
Task: Material Procurement - Subtask 98
Priority: Low Priority

Description:
Tiến hành đánh giá và lựa chọn nhà cung cấp vật liệu xây dựng phù hợp, đảm bảo chất lượng sản phẩm và giá cả cạnh tranh cho dự án. Hoàn thành các thủ tục đặt hàng và xác nhận giao hàng vào thời gian dự kiến để hỗ trợ tiến độ xây dựng.

Translation (for reference):
Conduct evaluation and selection of appropriate building material suppliers, ensuring product quality and competitive pricing for the project. Complete ordering procedures and confirm delivery at the scheduled time to support construction progress.",Subcontractor Coordination - Subtask 46
199,Feedback Collection - Subtask 99,Sales Pipeline,Lost (Sales),On Hold,Bright Solutions,01/03/2026,19/03/2026,Lara Bieri,Urgent,"Development, Support","Dự án: Sales Pipeline
Công việc: Feedback Collection - Subtask 99
Mức độ ưu tiên: Urgent

Mô tả công việc:
Tiến hành thu thập phản hồi từ khách hàng và các bên liên quan để đánh giá hiệu suất quy trình bán hàng hiện tại. Hoàn thành việc phân tích và tổng hợp dữ liệu phản hồi để hỗ trợ cải thiện chiến lược sales trong thời gian sớm nhất.",Demolition - 43
200,Renewal Discussion - Subtask 100,Sales Pipeline,Negotiation (Sales),Done,China Export,01/01/2026,06/02/2026,Inge Klaassen,Medium priority,Work,Timeline is aggressive,Roof Installation - Subtask 91
